,id_venta,id_producto,cantidad,fecha,id_cliente
177,V004636,P0443,2,2020-02-12,C0089
178,V005534,P0475,8,2020-09-11,C0031
179,V003792,P0021,3,2020-02-09,C0204
180,V001634,P0234,8,2020-09-14,C0230
181,V003839,P0437,6,2021-06-20,C0046
182,V002993,P0091,8,2022-06-10,C0278
183,V000214,P0030,9,2021-02-03,C0001
184,V007161,P0145,3,2023-07-19,C0081
185,V007211,P0498,1,2024-06-15,C0282
186,V006074,P0579,7,2022-07-06,C0058
187,V003133,P0157,3,2022-07-14,C0161
188,V006816,P0539,5,2022-01-28,C0283
189,V005289,P0456,4,2022-03-18,C0005
190,V007539,P0303,5,2021-07-30,C0197
191,V007418,P0230,4,2024-03-15,C0192
192,V002273,P0360,1,2020-10-11,C0262
193,V003067,P0588,1,2021-11-01,C0159
194,V004092,P0228,6,2023-04-27,C0007
195,V000919,P0351,5,2023-03-18,C0270
196,V005919,P0257,7,2021-05-27,C0132
197,V004041,P0477,4,2022-02-01,C0154
198,V002734,P0261,2,2024-02-27,C0226
199,V002874,P0449,1,2021-11-21,C0075
200,V002259,P0015,5,2021-07-09,C0070
201,V004266,P0158,4,2020-04-07,C0269
202,V005938,P0138,7,2023-12-06,C0037
203,V002463,P0150,6,2021-08-06,C0119
204,V003741,P0138,2,2021-06-11,C0047
205,V002067,P0121,4,2021-03-29,C0065
206,V002954,P0352,2,2020-04-23,C0053
207,V002223,P0208,5,2023-09-06,C0061
208,V003442,P0137,7,2022-06-11,C0060
209,V006461,P0018,2,2020-11-29,C0026
210,V006481,P0406,1,2021-06-22,C0279
211,V005881,P0421,2,2024-06-23,C0230
212,V003836,P0169,2,2024-01-19,C0113
213,V002299,P0121,4,2022-02-23,C0245
214,V001955,P0090,8,2021-03-23,C0181
215,V007081,P0411,6,2023-07-31,C0277
216,V002263,P0378,3,2020-11-20,C0088
217,V002602,P0457,8,2024-03-06,C0184
218,V003695,P0266,5,2023-09-16,C0125
219,V005763,P0010,1,2020-05-12,C0106
220,V005366,P0060,9,2020-05-13,C0222
221,V002768,P0153,3,2021-03-19,C0043
222,V001967,P0110,7,2021-02-02,C0186
223,V003634,P0406,6,2022-07-05,C0060
224,V005729,P0003,9,2020-02-18,C0049
225,V006843,P0247,6,2024-05-16,C0104
226,V004148,P0282,10,2022-03-05,C0297
227,V003083,P0403,6,2023-04-25,C0244
228,V007468,P0091,9,2023-12-03,C0178
229,V006053,P0432,8,2020-10-07,C0232
230,V003395,P0139,6,2021-12-20,C0150
231,V003065,P0193,3,2020-11-15,C0089
232,V005027,P0356,4,2020-06-17,C0248
233,V002359,P0188,2,2020-07-21,C0241
234,V000025,P0150,7,2023-09-02,C0075
235,V000763,P0398,4,2022-10-08,C0069
236,V007682,P0524,8,2022-02-10,C0247
237,V003648,P0259,5,2023-04-25,C0249
238,V000230,P0116,5,2023-09-20,C0299
239,V001368,P0475,8,2023-09-14,C0044
240,V003577,P0428,4,2021-07-31,C0027
241,V004480,P0021,2,2023-12-24,C0187
242,V003878,P0211,3,2024-06-30,C0109
243,V003764,P0283,7,2020-10-30,C0205
244,V004607,P0031,4,2023-03-02,C0131
245,V003549,P0318,9,2020-04-18,C0164
246,V003236,P0514,10,2022-10-06,C0227
247,V001507,P0289,4,2020-07-02,C0244
248,V005766,P0354,6,2022-08-03,C0190
249,V004710,P0341,3,2023-03-12,C0038
250,V007442,P0087,7,2023-01-18,C0045
251,V000099,P0242,1,2024-06-07,C0181
252,V000837,P0253,5,2020-10-07,C0291
253,V004359,P0590,7,2023-01-18,C0086
254,V000726,P0108,2,2024-02-05,C0283
255,V003631,P0169,10,2024-05-22,C0088
256,V001543,P0524,3,2022-07-12,C0185
257,V004094,P0458,1,2022-09-14,C0092
258,V005811,P0089,7,2020-11-24,C0144
259,V007485,P0474,6,2021-05-03,C0223
260,V006015,P0278,10,2022-03-25,C0127
261,V004819,P0509,10,2022-09-27,C0243
262,V003063,P0036,4,2020-04-05,C0148
263,V001489,P0398,9,2021-09-02,C0033
264,V005173,P0597,9,2023-09-07,C0096
265,V000097,P0395,9,2022-08-30,C0279
266,V007235,P0589,9,2020-11-10,C0167
267,V007761,P0347,10,2024-02-29,C0106
268,V005327,P0259,7,2023-12-08,C0089
269,V000976,P0224,4,2022-09-12,C0184
270,V004431,P0369,9,2023-09-02,C0060
271,V000368,P0372,9,2020-11-04,C0109
272,V000242,P0486,2,2022-06-13,C0251
273,V003205,P0092,7,2023-01-23,C0295
274,V006924,P0037,8,2021-12-22,C0226
275,V007541,P0440,8,2023-09-05,C0264
276,V001740,P0310,7,2022-10-25,C0195
277,V007618,P0360,3,2020-10-12,C0213
278,V002627,P0326,3,2022-02-25,C0099
279,V005847,P0352,3,2022-09-19,C0030
280,V007084,P0480,2,2023-04-23,C0251
281,V007787,P0254,7,2020-08-28,C0148
282,V006503,P0091,1,2024-03-10,C0278
283,V000925,P0323,3,2022-08-07,C0076
284,V000230,P0316,6,2023-09-20,C0299
285,V002314,P0417,3,2022-02-01,C0211
286,V007427,P0210,9,2021-05-23,C0049
287,V006478,P0029,7,2022-12-27,C0138
288,V002519,P0100,2,2020-02-16,C0078
289,V006105,P0508,1,2022-01-08,C0038
290,V006089,P0479,5,2023-04-06,C0260
291,V001707,P0210,7,2022-12-05,C0209
292,V000644,P0364,10,2021-08-03,C0038
293,V003212,P0077,4,2022-06-26,C0188
294,V007046,P0320,2,2023-10-19,C0279
295,V001671,P0278,10,2021-06-07,C0009
296,V001600,P0006,8,2023-07-19,C0035
297,V000396,P0542,6,2022-11-22,C0079
298,V003945,P0046,2,2022-01-21,C0132
299,V003842,P0215,3,2023-02-07,C0071
300,V003220,P0278,2,2022-12-04,C0002
301,V003982,P0077,8,2022-01-12,C0003
302,V005163,P0418,7,2023-05-26,C0234
303,V005917,P0493,10,2023-02-04,C0158
304,V005369,P0226,5,2021-06-21,C0282
305,V005857,P0417,3,2023-08-07,C0032
306,V005909,P0138,3,2022-07-02,C0032
307,V004304,P0471,9,2023-12-16,C0140
308,V003737,P0598,9,2022-04-15,C0004
309,V007378,P0403,7,2024-03-15,C0150
310,V000920,P0036,7,2021-11-27,C0185
311,V007073,P0158,10,2020-04-08,C0138
312,V002916,P0401,4,2020-08-13,C0283
313,V005550,P0452,6,2022-03-24,C0050
314,V001060,P0058,9,2023-07-19,C0142
315,V001477,P0564,3,2023-07-13,C0145
316,V000157,P0247,10,2021-03-10,C0104
317,V003404,P0299,10,2023-01-23,C0276
318,V002262,P0296,7,2021-02-26,C0223
319,V003131,P0029,4,2022-01-02,C0174
320,V005597,P0281,7,2022-05-04,C0282
321,V002330,P0413,4,2021-03-09,C0166
322,V000013,P0239,1,2023-08-28,C0003
323,V004480,P0347,6,2023-12-24,C0187
324,V007336,P0286,10,2020-07-15,C0134
325,V002580,P0232,6,2023-03-14,C0003
326,V001716,P0551,5,2023-08-07,C0106
327,V000811,P0531,4,2022-01-27,C0264
328,V005204,P0574,3,2024-01-14,C0017
329,V007303,P0013,5,2023-07-16,C0065
330,V001742,P0465,3,2022-06-08,C0222
331,V006504,P0010,6,2023-07-02,C0099
332,V004391,P0297,5,2021-01-21,C0137
333,V004125,P0442,1,2020-01-29,C0264
334,V001121,P0133,2,2023-01-10,C0148
335,V005628,P0013,9,2021-06-01,C0092
336,V004353,P0283,5,2021-11-15,C0269
337,V003451,P0001,4,2021-06-17,C0178
338,V005309,P0101,10,2022-09-30,C0070
339,V007718,P0180,4,2020-09-14,C0132
340,V005638,P0061,3,2023-06-15,C0210
341,V002910,P0489,10,2020-06-19,C0001
342,V004855,P0040,10,2020-11-28,C0234
343,V003524,P0415,8,2020-06-19,C0036
344,V004692,P0208,5,2023-02-22,C0276
345,V003995,P0136,8,2022-06-10,C0048
346,V002924,P0305,7,2023-12-27,C0007
347,V005900,P0359,3,2022-12-15,C0214
348,V002295,P0056,3,2023-07-22,C0229
349,V002663,P0194,4,2021-09-10,C0143
350,V003479,P0221,4,2020-04-15,C0164
351,V001475,P0211,1,2022-01-11,C0041
352,V001593,P0455,8,2022-06-26,C0009
353,V004109,P0087,7,2023-08-28,C0082
354,V002868,P0151,7,2021-11-18,C0011
355,V003836,P0099,9,2024-01-19,C0113
356,V005444,P0495,5,2024-06-28,C0069
357,V006781,P0270,1,2021-06-02,C0200
358,V004752,P0416,1,2022-08-15,C0060
359,V006686,P0381,1,2023-11-03,C0046
360,V001224,P0115,2,2021-08-25,C0092
361,V006673,P0127,5,2024-02-20,C0065
362,V005771,P0437,9,2022-04-19,C0185
363,V007634,P0149,6,2022-11-26,C0297
364,V003649,P0282,7,2023-09-10,C0226
365,V006495,P0385,9,2023-01-07,C0126
366,V000521,P0491,8,2023-10-10,C0203
367,V000978,P0078,6,2020-11-08,C0173
368,V003669,P0273,5,2024-05-06,C0125
369,V002745,P0316,6,2023-12-22,C0096
370,V002186,P0588,2,2023-01-19,C0106
371,V001147,P0592,6,2021-12-22,C0153
372,V000732,P0477,5,2022-06-09,C0138
373,V003367,P0081,7,2020-12-02,C0216
374,V006645,P0161,10,2023-05-10,C0134
375,V003726,P0269,9,2022-11-15,C0059
376,V000408,P0395,1,2020-05-09,C0243
377,V001046,P0165,5,2023-02-01,C0160
378,V004090,P0012,3,2024-06-29,C0212
379,V006587,P0314,10,2022-03-19,C0050
380,V001830,P0286,2,2020-01-25,C0165
381,V003322,P0100,3,2021-11-17,C0056
382,V004415,P0097,10,2020-01-14,C0276
383,V001954,P0391,5,2022-03-07,C0033
384,V000407,P0097,10,2023-11-30,C0223
385,V000341,P0402,8,2021-08-22,C0004
386,V004128,P0581,6,2020-10-14,C0247
387,V005814,P0191,4,2021-10-28,C0076
388,V005390,P0102,5,2022-12-18,C0030
389,V002940,P0376,1,2022-10-18,C0117
390,V003227,P0343,5,2022-03-29,C0071
391,V007426,P0514,5,2023-05-06,C0133
392,V002713,P0483,8,2024-06-09,C0117
393,V005736,P0191,4,2021-09-10,C0152
394,V000619,P0407,10,2021-06-01,C0229
395,V005501,P0155,1,2024-04-14,C0187
396,V000787,P0064,5,2020-07-28,C0255
397,V000838,P0589,9,2021-11-10,C0195
398,V001070,P0501,1,2024-06-03,C0251
399,V006494,P0521,1,2024-04-27,C0163
400,V005066,P0147,1,2021-04-25,C0048
401,V002855,P0110,5,2020-06-23,C0031
402,V000601,P0504,10,2024-05-23,C0282
403,V002982,P0303,8,2023-11-02,C0161
404,V002807,P0544,10,2023-05-07,C0099
405,V000623,P0469,7,2023-12-04,C0120
406,V005183,P0410,7,2020-01-15,C0250
407,V000023,P0415,5,2021-04-08,C0245
408,V004142,P0232,6,2021-06-16,C0251
409,V002409,P0057,3,2024-03-03,C0039
410,V000004,P0082,2,2022-04-23,C0026
411,V003238,P0401,3,2022-06-19,C0112
412,V006508,P0257,1,2023-07-03,C0265
413,V007821,P0335,4,2023-01-20,C0038
414,V005628,P0450,9,2021-06-01,C0092
415,V002368,P0515,9,2020-09-16,C0240
416,V005230,P0292,3,2021-07-22,C0059
417,V003274,P0398,5,2022-04-01,C0275
418,V007476,P0236,7,2021-06-11,C0033
419,V001128,P0503,5,2023-12-01,C0226
420,V005165,P0078,9,2020-11-17,C0246
421,V000645,P0411,5,2023-07-08,C0237
422,V001638,P0481,2,2020-03-06,C0218
423,V006775,P0345,3,2021-10-03,C0279
424,V002855,P0445,7,2020-06-23,C0031
425,V005130,P0264,4,2024-02-03,C0182
426,V002522,P0544,6,2020-10-07,C0048
427,V007016,P0558,4,2024-04-20,C0277
428,V003914,P0224,3,2020-08-05,C0139
429,V005184,P0233,5,2024-02-24,C0116
430,V004374,P0578,3,2020-11-09,C0216
431,V002379,P0135,10,2023-12-18,C0165
432,V002803,P0150,4,2022-09-14,C0114
433,V003933,P0209,9,2020-07-27,C0003
434,V002955,P0382,3,2024-05-12,C0291
435,V002390,P0455,5,2022-11-05,C0227
436,V007076,P0485,8,2023-08-25,C0212
437,V004220,P0573,7,2023-08-28,C0240
438,V002191,P0161,6,2023-02-11,C0205
439,V002735,P0378,5,2023-03-22,C0281
440,V005416,P0335,1,2022-05-26,C0082
441,V003914,P0555,1,2020-08-05,C0139
442,V002472,P0426,7,2023-08-04,C0022
443,V004356,P0411,7,2020-07-25,C0197
444,V006824,P0112,6,2021-11-15,C0005
445,V004869,P0289,4,2020-01-31,C0240
446,V001449,P0406,7,2021-12-28,C0050
447,V000630,P0533,6,2022-06-27,C0059
448,V007320,P0452,8,2020-05-24,C0138
449,V006058,P0254,3,2021-10-01,C0152
450,V006273,P0103,3,2023-10-04,C0078
451,V001535,P0399,8,2024-03-04,C0065
452,V006919,P0436,10,2024-01-27,C0244
453,V000334,P0016,7,2020-11-16,C0119
454,V005815,P0499,10,2021-05-09,C0072
455,V003674,P0385,1,2021-06-12,C0089
456,V000246,P0036,7,2021-07-25,C0036
457,V006081,P0188,2,2022-03-04,C0276
458,V005634,P0263,8,2021-09-01,C0283
459,V006311,P0213,5,2020-02-07,C0090
460,V007673,P0102,7,2021-12-20,C0300
461,V005825,P0138,7,2021-01-02,C0277
462,V001116,P0597,9,2023-08-05,C0260
463,V003911,P0333,4,2021-02-02,C0270
464,V006775,P0205,4,2021-10-03,C0279
465,V004751,P0137,9,2020-07-04,C0161
466,V002496,P0232,9,2023-10-29,C0042
467,V002439,P0010,5,2021-07-26,C0228
468,V004486,P0056,10,2022-03-20,C0271
469,V000151,P0024,9,2023-06-21,C0245
470,V002714,P0317,8,2021-05-28,C0015
471,V007870,P0081,3,2024-04-05,C0045
472,V003225,P0594,3,2021-12-19,C0122
473,V002804,P0513,3,2022-07-31,C0031
474,V003589,P0360,2,2022-04-11,C0129
475,V000611,P0578,8,2021-02-02,C0028
476,V002982,P0090,2,2023-11-02,C0161
477,V007296,P0025,5,2024-02-05,C0113
478,V005846,P0208,9,2020-12-03,C0099
479,V001696,P0514,10,2023-03-30,C0152
480,V000511,P0066,4,2023-02-08,C0133
481,V003992,P0043,9,2021-09-23,C0036
482,V003534,P0154,6,2020-08-19,C0210
483,V006031,P0588,1,2023-04-02,C0041
484,V007674,P0269,9,2021-02-20,C0243
485,V001946,P0485,4,2021-12-08,C0070
486,V006162,P0112,3,2021-03-11,C0093
487,V004067,P0273,5,2021-11-01,C0167
488,V004680,P0289,2,2021-02-06,C0131
489,V003735,P0325,5,2021-09-26,C0168
490,V001131,P0245,6,2022-07-25,C0270
491,V007509,P0460,10,2020-05-31,C0275
492,V004631,P0413,5,2020-02-21,C0109
493,V001228,P0161,8,2021-07-27,C0092
494,V003843,P0388,6,2020-01-24,C0042
495,V005807,P0570,1,2022-07-04,C0238
496,V005326,P0287,7,2022-03-09,C0214
497,V006000,P0111,1,2020-02-06,C0059
498,V003798,P0518,10,2020-01-02,C0154
499,V006719,P0411,8,2021-08-12,C0247
500,V001724,P0581,3,2024-01-18,C0021
501,V007842,P0394,6,2020-09-09,C0139
502,V007993,P0043,1,2021-06-19,C0017
503,V000735,P0526,2,2021-02-24,C0184
504,V000112,P0369,9,2023-09-20,C0264
505,V004073,P0209,10,2022-08-05,C0294
506,V001124,P0075,10,2020-07-23,C0244
507,V004648,P0443,3,2021-06-28,C0263
508,V004196,P0043,3,2023-10-02,C0031
509,V005062,P0469,10,2023-09-19,C0168
510,V000936,P0247,9,2024-04-28,C0030
511,V005544,P0318,8,2022-05-20,C0199
512,V000165,P0508,6,2024-04-18,C0260
513,V006873,P0147,1,2023-03-31,C0035
514,V007015,P0450,5,2024-02-15,C0081
515,V002726,P0244,5,2022-04-10,C0099
516,V006266,P0334,10,2020-11-12,C0161
517,V003342,P0340,5,2023-03-24,C0192
518,V005131,P0501,4,2022-04-19,C0228
519,V000060,P0196,8,2022-05-12,C0291
520,V006216,P0554,1,2020-09-22,C0092
521,V002957,P0279,6,2020-10-23,C0021
522,V007114,P0196,3,2020-07-04,C0071
523,V005516,P0336,10,2023-03-12,C0190
524,V004271,P0342,9,2022-11-01,C0164
525,V006552,P0356,10,2020-04-09,C0086
526,V007642,P0142,6,2020-01-13,C0140
527,V000515,P0147,4,2020-05-05,C0160
528,V004441,P0300,6,2020-03-12,C0073
529,V004756,P0425,8,2023-01-24,C0033
530,V000846,P0024,7,2024-04-27,C0007
531,V004800,P0364,1,2020-11-30,C0154
532,V005897,P0177,10,2023-04-04,C0246
533,V005207,P0343,7,2020-09-21,C0192
534,V007853,P0402,10,2021-03-18,C0199
535,V000995,P0373,1,2022-01-01,C0027
536,V001570,P0071,8,2024-05-24,C0022
537,V006536,P0526,8,2020-04-16,C0154
538,V000397,P0329,2,2024-05-25,C0138
539,V003842,P0160,3,2023-02-07,C0071
540,V006437,P0185,2,2021-02-01,C0220
541,V006323,P0182,10,2021-10-14,C0210
542,V007047,P0025,9,2023-05-15,C0084
543,V002956,P0544,7,2020-08-08,C0163
544,V005011,P0266,5,2022-09-22,C0113
545,V000538,P0349,9,2023-05-25,C0182
546,V001921,P0536,2,2020-06-12,C0074
547,V005860,P0556,4,2022-03-05,C0277
548,V004273,P0014,5,2023-01-16,C0109
549,V003236,P0145,2,2022-10-06,C0227
550,V001742,P0425,2,2022-06-08,C0222
551,V000995,P0101,7,2022-01-01,C0027
552,V007429,P0077,7,2021-11-12,C0054
553,V000257,P0324,3,2023-11-06,C0092
554,V003979,P0173,2,2022-06-04,C0190
555,V001416,P0009,4,2023-02-24,C0174
556,V001466,P0065,4,2021-02-15,C0299
557,V001639,P0526,1,2024-01-12,C0294
558,V001532,P0330,3,2020-11-24,C0152
559,V005392,P0002,3,2023-09-23,C0216
560,V000245,P0143,3,2020-11-21,C0188
561,V000509,P0562,8,2022-01-26,C0217
562,V000898,P0043,8,2021-11-10,C0214
563,V006327,P0526,2,2022-10-06,C0053
564,V002392,P0064,10,2023-10-29,C0139
565,V006947,P0263,3,2020-01-31,C0238
566,V005451,P0338,6,2022-05-03,C0213
567,V002011,P0338,5,2023-12-15,C0212
568,V005589,P0522,6,2021-08-10,C0033
569,V001331,P0236,4,2021-02-01,C0248
570,V007259,P0147,7,2022-11-10,C0197
571,V000503,P0182,6,2021-12-23,C0294
572,V007820,P0159,2,2023-08-20,C0241
573,V007331,P0392,7,2022-03-21,C0173
574,V006288,P0203,3,2020-11-17,C0069
575,V003137,P0432,2,2022-03-30,C0192
576,V004693,P0171,3,2022-04-15,C0255
577,V003319,P0022,5,2024-01-09,C0208
578,V000846,P0002,1,2024-04-27,C0007
579,V007935,P0016,1,2022-10-19,C0297
580,V000736,P0091,10,2023-03-03,C0197
581,V004909,P0121,10,2023-11-09,C0002
582,V005491,P0504,4,2023-09-01,C0033
583,V006962,P0570,9,2022-06-13,C0213
584,V005247,P0509,3,2020-02-18,C0022
585,V006192,P0170,8,2021-08-21,C0088
586,V001843,P0066,3,2022-09-25,C0137
587,V006778,P0321,9,2020-07-23,C0286
588,V005154,P0039,6,2022-06-26,C0001
589,V005650,P0425,10,2022-07-06,C0117
590,V007383,P0332,9,2023-06-22,C0162
591,V007960,P0561,1,2021-02-17,C0228
592,V001600,P0241,6,2023-07-19,C0035
593,V006974,P0029,1,2022-09-22,C0109
594,V007134,P0326,7,2022-09-29,C0071
595,V002716,P0317,9,2020-10-19,C0156
596,V007896,P0333,9,2021-06-12,C0026
597,V004317,P0093,4,2023-03-05,C0261
598,V007031,P0574,6,2022-01-07,C0025
599,V007175,P0407,5,2021-12-17,C0227
600,V007154,P0524,10,2021-09-17,C0067
601,V000110,P0288,3,2021-09-09,C0250
602,V003526,P0040,1,2021-04-22,C0220
603,V005154,P0560,8,2022-06-26,C0001
604,V007785,P0496,6,2023-10-17,C0009
605,V007767,P0539,7,2023-04-28,C0074
